#;name;country;state;massif;length_decimals;length;depth_decimals;depth;entrances;terrain_type;source;updated_year;updated_month
151;Mawandong;China;Guizhou;Zhengan;34657,00;34657;555,00;555;0;Limestone;http://www.grottes-et-karsts-de-chine.org/npds/gkc_gro.php?op=deve;2015;2
595;Scialet Candy;France;Auvergne-Rhone-Alpes;-;11000,00;11000;558,00;558;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
320;Cueva del Viento-cueva del Sobrado;Spain;Canarias Island;Tenerife Is.;18500,00;18500;560,00;560;0;Lava;Jose Luis Membrado e-mail;43862;
248;Kolkina Cave;Bulgaria;Sofia Province;;23297,00;23297;561,00;561;0;Limestone;Elfi Hristova email;2024;4
510;Combe des Bioles - Tanne des Squelettes;France;Savoie;Bauges;12500,00;12500;563,00;563;0;Limestone;Philippe Audra (Spelunca N66);2017;6
50;Complesso della Valle del Nose;Italy;Lombardia;Pian del Tivano;68288,00;68288;570,00;570;0;Limestone;Andrea Maconi e-mail;2017;6
302;SchrattenHoehle;Switzerland;Obwalden;Kerns;19645,00;19645;573,00;573;0;Limestone;http://ch.speleo.info;2009;7
436;Tonion-Hîhlensystem;Austria;Tonion;Steiermark;14140,00;14140;580,00;580;0;Limestone;Lukas Plan email;2024;6
71;Grotte de la Luire;France;Drome;Vercors;56182,00;56182;581,00;581;0;Limestone;Liste des cavites naturelles les plus longues de France;2019;4
247;Bojian;China;Guizhou;Zunyi Shi;23360,00;23360;590,00;590;0;Limestone;http://www.grottes-et-karsts-de-chine.org/npds/gkc_rcdev50.php?;2016;8
211;Systeme Biolles - Squelettes - Crolleurs;France;Savoie;Margeriaz;26001,00;26001;591,00;591;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
570;Behiako Leizea;France;Nouvelle-Aquitaine;Pyrenees;11500,00;11500;596,00;596;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D408;Torca JA.7;Spain;Asturias;Picos de Europa;0,00;0;600,00;600;0;Limestone;Jose Luis Membrado e-mail;2021;5
D407;Torca'l Mogu (JL.9);Spain;Asturias;Picos de Europa;1123,00;1123;602,00;602;0;Limestone;Jose Luis Membrado e-mail;2021;5
467;Sysäme souterrain de I'Hyder;France;Occitanie;-;13200,00;13200;604,00;604;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D405;Kuchelberg-Windhîhle;Austria;Tennengebirge;Salzburg;950,00;950;605,00;605;0;Limestone;Lukas Plan email;2024;6
D404;[Brezno treh src];Slovenia;Sneznik;-;715,00;715;606,00;606;0;Limestone;List of Slovenia's Longest & Deepest;2021;10
D403;Gouffre du Papilion;France;Occitanie;;5000,00;5000;606,00;606;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
440;Labassa;Italy;-;-;14000,00;14000;606,00;606;0;Limestone;Eric Madelanine list;2006;7
D401;Torca de la Torre de Altalz;Spain;Cantabria;Picos de Europa;1950,00;1950;608,00;608;0;Limestone;Jose Luis Membrado e-mail;2021;5
D400;Gouffre du Rocher de Louctores;France;Nouvelle-Aquitaine;-;0,00;0;609,00;609;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D399;BB030;Albania;Shkoder;Teth;0,00;0;610,00;610;0;Limestone;Mariusz Polok email;2023;1
D398;Eisturnerhîhle;Austria;Dachstein;Oberîsterreich;1600,00;1600;610,00;610;0;Limestone;Lukas Plan email;2024;6
D397;Räseau Belle - Cassagnous;France;Occitanie;-;9994,03;9994;610,00;610;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D396;R'ja Man Kijao (Nita);Mexico;Oaxaca;-;0,00;0;611,00;611;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D395;DÅdena?z?;Turkey;Denizli;Karaman / Basyayla;2039,00;2039;612,00;612;0;Limestone;https://tumaf.org/turkiyenin-en-uzun-ve-en-derin-magaralari/;2010;12
D394;Torca'l Llagu Las Monetas;Spain;Asturias;Picos de Europa;1200,00;1200;613,00;613;0;Limestone;Jose Luis Membrado e-mail;2021;5
313;Rede Toneyo;Spain;Asturias;Macizo del Cornion;18970,00;18970;614,00;614;0;Limestone;List of Spains Longest & Deepest (WWW);1998;4
D392;Ogrschacht;Austria;Hoher Gîll;Salzburg;1740,00;1740;615,00;615;0;Limestone;Lukas Plan email;2024;6
D391;Pralina;Greece;Crete;Levka Ori;816,00;816;617,00;617;0;Limestone;Panagiotis Papadakos email;2024;10
D390;A.351 (Cotiella);Spain;Huesca;Sierras de Beza;3300,00;3300;617,00;617;0;Limestone;Jose Luis Membrado e-mail;2021;5
D389;Tanne à Chaw alies la Grand Trou;France;Auvergne-Rhìne-Alpes;-;1373,00;1373;618,00;618;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D388;Sistema de la Punta de las Olas-Cueva Escarchada;Spain;Huesca;Pirineos;7251,00;7251;618,00;618;0;Limestone;Jose Luis Membrados email;2024;6
D387;Pozu'l Hou Lluengu;Spain;Asturias;Picos de Europa;1610,00;1610;619,00;619;0;Limestone;Jose Luis Membrado e-mail;2021;5
D386;Peleta;Greece;Peloponnese;Parnon;1195,00;1195;620,00;620;0;Limestone;Panagiotis Papadakos email;2024;10
600;Sistema del Circo de Armena;Spain;Huesca;Pirineos;10960,00;10960;620,00;620;0;Limestone;Jose Luis Membrado e-mail;2021;5
540;Grotta della Mottera;Italy;-;-;12000,00;12000;620,00;620;0;Limestone;Eric Madelanine list;2006;7
253;Cueva Coyolat;Mexico;Puebla;Tlacotepec;23000,00;23000;620,00;620;0;Limestone;Gustavo e-mail AMCS#29;2016;5
D382;Räseau de la Pique;France;Occitanie;-;1900,00;1900;621,00;621;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D381;Sistema Atlalaquia;Mexico;Chiapas;-;0,00;0;623,00;623;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
454;Torca de la Llana de Len;Spain;Cantabria;Porracolina;13603,00;13603;624,00;624;0;Limestone;Jose Luis Membrado e-mail;2023;4
11;Sistema del Alto Tejuelo;Spain;Cantabria;Porracolina;212020,00;212020;626,00;626;0;Limestone;Dick Hermans email;2024;11
D378;Stadelalm-Eiskluft;Austria;Ennstaler Alpen;Steiermark;4381,00;4381;627,00;627;0;Limestone;Lukas Plan email;2024;6
207;Ahnenschacht;Austria;Totes Gebirge;Oberîsterreich;26148,00;26148;627,00;627;0;Limestone;Lukas Plan email;2024;6
D376;Gouffre du Mail;France;Nouvelle-Aquitaine;-;1142,00;1142;629,00;629;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
472;Gutschtobelhîhle;Switzerland;Muotathal;SZ;13096,00;13096;629,00;629;0;Limestone;Eric Madelanine list;2009;7
D374;Latschencanyon;Germany;Bavaria;-;2762,00;2762;630,00;630;0;Limestone;Andreas Wolf List of Longest Caves in Germany;2021;2
241;Sistema Soconusco - Aire Fresco;Mexico;Chiapas;-;23856,00;23856;633,00;633;0;Limestone;-;;
D372;Pozu'l Trabe Rolamuela;Spain;Asturias;Pena Ubina;2604,00;2604;634,00;634;0;Limestone;Jose Luis Membrado e-mail;2021;5
73;Systeme du Granier;France;Isere / Savoie;Chartreuse;55725,00;55725;635,00;635;0;Limestone;Liste des cavites naturelles les plus longues de France;2019;4
D370;Oztotl Asltepetlacac (Cueva Paisano);Mexico;Puebla;-;0,00;0;638,00;638;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D369;Sima Pumacocha;Peru;Laraos;Yaukos;1427,00;1427;638,00;638;0;Limestone;Peter MacNab FB;2019;7
252;Interessante Hîhle;Austria;Hagengebirge;Salzburg;23095,00;23095;639,00;639;0;Limestone;Lukas Plan email;2024;6
D365;SÅtlÅk DÅdeni;Turkey;Adana;Pozanti;0,00;0;640,00;640;0;Limestone;Caves and Caving I72;2022;3
D366;Grallera de Pico Fenez (T.38);Spain;Huesca;Pirineos;0,00;0;640,00;640;0;Limestone;Jose Luis Membrado e-mail;2021;5
D367;Cuaubtempa Superior;Mexico;Puebla;-;0,00;0;640,00;640;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D364;Sistema Gorrinoa - Prau la Huente;Spain;Asturias;Picos de Europa;4021,00;4021;640,00;640;0;Limestone;Jose Luis Membrado e-mail;2021;5
D363;Nita Nashi;Mexico;Oaxaca;-;0,00;0;641,00;641;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D361;Subatani DÅdeni;Turkey;Kayseri;Yahyali;0,00;0;643,00;643;0;Limestone;Caves and Caving I72;;
D362;Vrtiglavica;Slovenia;-;-;0,00;0;643,00;643;0;Limestone;Map;2021;10
D360;Sistem Pokljuskega grebena;Slovenia;Pokljuke;-;9584,00;9584;643,00;643;0;Limestone;List of Slovenia's Longest & Deepest;2019;9
D359;C 11 (Moznica);Slovenia;zaledje Koritnice;-;1074,00;1074;644,00;644;0;Limestone;List of Slovenia's Longest & Deepest;2021;10
D358;Sistema de la Mina Sara;Spain;Cantabria;Picos de Europa;4000,00;4000;644,00;644;0;Limestone;Jose Luis Membrado e-mail;2023;4
D357;RÇseau de la Combe du Bryon;Switzerland;Leysin;VD;4614,00;4614;646,00;646;0;Limestone;List of Swiss Long k& Deep Caves;2022;3
D355;Pozo Grande la Torrezuela (FP.202);Spain;Asturias;Picos de Europa;0,00;0;649,00;649;0;Limestone;Jose Luis Membrado e-mail;2021;5
D356;S¢tano de Tilaco;Mexico;QuerÇtaro;-;0,00;0;649,00;649;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D354;Fisura de Chica (Pozo Chicago);Spain;Asturias;Picos de Europa;1150,00;1150;650,00;650;0;Limestone;Jose Luis Membrado e-mail;2021;5
D353;Aufrei·er;Germany;Bavaria;-;1170,00;1170;650,00;650;0;Limestone;Andreas Wolf List of Longest Caves in Germany;2021;2
D352;Pozo de la Celada;Spain;Leon;Picos de Europa;1719,00;1719;650,00;650;0;Limestone;Jose Luis Membrado e-mail;2021;5
672;Uterdinetako Lezea (Grotte de l'Ours) - PÇrdida del Becerro;Spain;Navarra;Larra;10065,00;10065;650,00;650;0;Limestone;Jose Luis Membrado email;2025;3
D350;Gouffre des Diablotins;Switzerland;Charmey;FR;2202,00;2202;652,00;652;0;Limestone;List of Swiss Long k& Deep Caves;2022;3
D349;Cueva Tipitcli (Tipitli);Mexico;Puebla;-;0,00;0;653,00;653;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
193;V5 Sistemul Varasoaia (V5-V24);Romania;Bihor;Mtii Bihor;28000,00;28000;653,00;653;0;Limestone;Alex Pologea e-mal;2017;4
D347;Poza los Fuexos de Cueva Palacios;Spain;Asturias;Pena Ubina;1194,00;1194;654,00;654;0;Limestone;Jose Luis Membrado e-mail;2021;5
D346;Scialet Zakapouât;France;Auvergne-Rhìne-Alpes;-;1350,00;1350;655,00;655;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D345;Sistema Conhurtau;Spain;Asturias;Picos de Europa;2435,00;2435;655,00;655;0;Limestone;Jose Luis Membrado e-mail;2021;5
D344;Les cinq Scialets - Hachoir Ö Viande;France;Auvergne-Rhìne-Alpes;-;3441,00;3441;655,00;655;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D343;Heavy Breather System;Canada;BC;Rockies;6150,00;6150;655,00;655;0;Limestone;Canada Long and Deep Caves Assembled by Pat Shaw;2022;8
45;Reseau de l'Alpe;France;Isere / Savoie;Chartreuse;72300,00;72300;655,00;655;0;Limestone;Liste des cavites naturelles les plus longues de France;2019;4
D341;Räseau de la Pointe de Sans Bet;France;Auvergne-Rhìne-Alpes;-;8000,00;8000;656,00;656;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
128;Sistema Cuetzalan - Atepolihuit;Mexico;Puebla;Curtzalan;37676,00;37676;658,00;658;0;Limestone;Mark Minton e-mail;2016;6
D339;Systema de los Tres Amigos (Te Chan Xki);Mexico;Oaxaca;;0,00;0;659,00;659;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
536;PinargozÅ Magarasi;Turkey;Isparta;Yenisarbademli;12000,00;12000;660,00;660;0;Limestone;Caves and Caving I72;2020;11
644;Tanne de Chavanu;France;Auvergne-Rhìne-Alpes;-;10413,00;10413;662,00;662;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
185;ôtscherhîhlensystem;Austria;ôtscher;Niederîsterreich;28608,00;28608;662,00;662;0;Limestone;Lukas Plan email;2024;6
D335;Räseau de Balacha;France;Auvergne-Rhìne-Alpes;-;4576,00;4576;665,00;665;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D334;Cueva Santo Cavernario + Tototzil Chichiltic;Mexico;Puebla;-;0,00;0;667,00;667;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D331;Paka Sala;Slovenia;Coastal Region;Lov?en;1556,00;1556;667,40;667;0;Limestone;Jure Ti?ar email;2025;1
D332;Pala Skala;Montenegro;Coastal Region;Lovcen;1556,00;1556;667,40;667;0;Limestone;Jure Ticar email;2025;1
D333;Aven du CaladIre;France;Alpes-Cìte d'Azur;-;1850,00;1850;667,00;667;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
304;Woising-Hîhlensystem;Austria;Totes Gebirge;Stmk/Oô;19529,00;19529;669,00;669;0;Limestone;Lukas Plan email;2024;6
88;Trou qui souffle;France;Isere;Vercors;49300,00;49300;670,00;670;0;Limestone;Liste des cavites naturelles les plus longues de France;2019;4
D328;Abismo Guy Collet (Quartzite);Brazil;Barcelos-AM;-;896,00;896;671,00;671;0;Sandstone;Anais do XXIX Congresso Brasileiro de Espeleologia;2016;6
D327;S¢tano de Alfredo;Mexico;QuerÇtaro;-;0,00;0;673,00;673;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D326;Gouffre de Gournier;France;Auvergne-Rhìne-Alpes;-;1850,00;1850;675,00;675;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D325;Pozu Hoceherreru;Spain;Asturias;Picos de Europa;1984,00;1984;677,00;677;0;Limestone;Jose Luis Membrado e-mail;2021;5
D324;Koboldschacht;Austria;Hoher Gîll;Salzburg;2100,00;2100;677,00;677;0;Limestone;Lukas Plan email;2024;6
336;Grotte de Gournier;France;Isere;Vercors;18000,00;18000;680,00;680;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D322;Devettisoca jama;Slovenia;Raduha;-;2205,00;2205;681,00;681;0;Limestone;List of Slovenia's Longest & Deepest;2021;10
D321;Torca de la Nieve (2.N);Spain;Cantabria;Picos de Europa;0,00;0;683,00;683;0;Limestone;Jose Luis Membrado e-mail;2021;5
D320;Herbsthîhle;Austria;Loferer Steinberge;Salzburg;1015,00;1015;684,00;684;0;Limestone;Lukas Plan email;2024;6
D319;BÑrengasse-Windschacht;Austria;Dachstein;Oberîsterreich;900,00;900;687,00;687;0;Limestone;Lukas Plan email;2024;6
D318;Sistema de Carnizosu;Spain;Asturias;Picos de Europa;4000,00;4000;687,00;687;0;Limestone;Jose Luis Membrado e-mail;2021;5
585;A2, Loubenegg;Switzerland;Beatenberg;BE;11148,00;11148;687,00;687;0;Limestone;List of Swiss Long k& Deep Caves;2022;3
D316;Scialet des Pullis;France;Auvergne-Rhìne-Alpes;-;2394,00;2394;688,00;688;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D315;Bisaro Anima;Canada;BC;Rockies;7678,00;7678;688,00;688;0;Limestone;Canada Long and Deep Caves Assembled by Pat Shaw;2022;8
D314;Torca Llerosa;Spain;Asturias;Picos de Europa;1720,00;1720;690,00;690;0;Limestone;Jose Luis Membrado e-mail;2021;5
D313;Gouffre de la Rasse;France;Auvergne-Rhìne-Alpes;-;2100,00;2100;690,00;690;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D312;Klondike-Kloce-Hîhlensystem;Austria;Karnische Alpen;KÑrnten / ITALIEN;5500,00;5500;690,00;690;0;Limestone;Lukas Plan email;2024;6
74;Reseau de la Dent de Crolles;France;Isere;Chartreuse;55407,00;55407;690,00;690;0;Limestone;Buchaly, Waldbrener;2019;4
100;Frauenmauer-Langstein-Hîhlensystem;Austria;Hochschwab;Steiermark;45143,00;45143;692,00;692;0;Limestone;Lukas Plan email;;
D309;S¢tano de los Planos;Mexico;Puebla;-;0,00;0;694,00;694;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D308;Geburtstagsschacht;Germany;Bavaria;-;1683,00;1683;698,00;698;0;Limestone;Andreas Wolf List of Longest Caves in Germany;2021;2
D307;Gouffre Romy;France;Nouvelle-Aquitaine;-;6060,00;6060;699,00;699;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D306;Aztotempa;Mexico;Puebla;-;0,00;0;700,00;700;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D305;Gouffre des Moris vivants;France;Auvergne-Rhìne-Alpes;-;2200,00;2200;700,00;700;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D304;Slovacka jasky§a na Karadzici (Ceki 1);North Macedonia;-;Pateau Jakupica;3609,00;3609;700,00;700;0;Limestone;Martin Siuka e-mail;2016;6
614;Poloska jama;Slovenia;Zaledje Tolminke;-;10800,00;10800;704,00;704;0;Limestone;List of Slovenia's Longest & Deepest;2016;5
D302;Meduza;Croatia;Sjeverni Velebit;Ro?anski kukovi;1604,00;1604;706,00;706;0;Limestone;Aida Bari?ic e-mail, Speleology Commission of the Croation Mountaineering Association;2023;1
D301;Gouffre de la Consolation;France;Nouvelle-Aquitaine;-;3448,00;3448;711,00;711;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
102;KolkblÑser-Monsterhîhle-System;Austria;Steinernes Meer;Salzburg;44487,00;44487;711,00;711;0;Limestone;Lukas Plan email;2024;6
D299;Kecili Duden;Turkey;Anttaalya;;1830,00;1830;712,00;712;0;Limestone;mevlut yildiz e-mail;2017;6
266;Grotte d'Arphidia;France;Pyrenees-Atlantiques;Pierre Saint Martin;22575,00;22575;712,00;712;0;Limestone;Jean-Yves Bigot;2016;1
D297;Furtowischacht;Austria;Hochschwab;Steiermark;1650,00;1650;713,00;713;0;Limestone;Lukas Plan email;2024;6
581;Bohemia Cave;New Zealand;South Island;Mt Owen;11230,00;11230;713,00;713;0;Limestone;Lindsay Main NZ Speleological Soc. Info Officer;2016;1
D295;Cueva Buchaquera;Spain;Huesca;Pirineos;0,00;0;714,00;714;0;Limestone;Jose Luis Membrado e-mail;2016;6
D294;Torca la Oveya (Torca la Cumbre);Spain;Asturias;Picos de Europa;0,00;0;715,00;715;0;Limestone;Jose Luis Membrado e-mail;2021;10
D293;Bretterschacht;Austria;Tennengebirge;Salzburg;4494,00;4494;715,00;715;0;Limestone;Lukas Plan email;2024;6
491;Räseau Median du clos d'Aspres;France;-;-;12950,00;12950;715,00;715;0;Limestone;Eric Madelanine list;2006;7
D291;Sima de Ukerdi Abajo;Spain;Nafarroa;Piedra San Martin;0,00;0;717,00;717;0;Limestone;Jose Luis Membrado e-mail;2016;6
353;Sima del Aire;Spain;Malaga;Sierra de las Nieves;17218,00;17218;720,00;720;0;Limestone;Jose Luis Membrado e-mail;2025;1
101;Grotte de la Diau;France;Haute Savoie;Parmelan;45000,00;45000;720,00;720;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D288;Gouffre Georges;France;Auvergne-Rhìne-Alpes;-;3490,00;3490;721,00;721;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
453;HH Cave (Honeycomb Hill);New Zealand;South Island;Mt Arthur;13712,00;13712;721,00;721;0;Limestone;Lindsay Main NZ Speleological Soc. Info Officer;2016;1
D286;kef Toghobeãt;Morocco;Rif;Bab Taza;3918,00;3918;722,00;722;0;Limestone;Atlas of the Great Caves and Karst of Africa Part 2 P215;;
D285;Sternes;Greece;Crete;Levka Ori;7740,00;7740;722,00;722;0;Limestone;Panagiotis Papadakos email;2024;10
D284;Torca del Picu Boru;Spain;Cantabria;Picos de Europa;0,00;0;723,00;723;0;Limestone;Jose Luis Membrado e-mail;2016;6
D283;Voodoo-Canyon;Austria;Dachstein;Stmk/Oô;4354,00;4354;723,00;723;0;Limestone;Lukas Plan email;2024;6
D282;Räseau de Bovinant;France;Auvergne-Rhìne-Alpes;-;6836,00;6836;723,00;723;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D281;Shpella Valbones;Albania;Kuke?;Rrogam/Valbona;2411,00;2411;725,00;725;0;Limestone;Mariusz Polok email;2025;3
D280;Räseau Trois Dents - Quäbe de Coiche;France;Nouvelle-Aquitaine;-;3100,00;3100;726,00;726;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D279;Sima de Cotalbin;Spain;Leon;Picos de Europa;0,00;0;727,00;727;0;Limestone;Jose Luis Membrado e-mail;2016;6
D278;Couey Lotge;France;Nouvelle-Aquitaine;-;7500,00;7500;728,00;728;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D277;Wieserloch;Austria;Leoganger Steinberge;Salzburg;3000,00;3000;730,00;730;0;Limestone;Lukas Plan email;2024;6
D276;Gouffre de;France;Nouvelle-Aquitaine;-;8745,00;8745;733,00;733;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D275;Torca Tejera;Spain;Asturias;Picos de Europa;0,00;0;738,00;738;0;Limestone;Jose Luis Membrado e-mail;2016;9
D274;Nita Xong†;Mexico;Oaxaca;-;0,00;0;739,00;739;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D273;Sonyance;Mexico;Oaxaca;-;0,00;0;740,00;740;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D272;Reseau Ded;France;Isere;Saint-pe-de-Chartreuse;250,00;250;740,00;740;0;Gypsum;Liste des cavites naturelles les plus longues de France;2002;7
442;K2, Hohgant;Switzerland;Bern;Habkern;13996,00;13996;741,00;741;0;Limestone;http://ch.speleo.info;2009;7
D270;Pigpen 2;Austria;Dachstein;Oberîsterreich;2166,00;2166;742,00;742;0;Limestone;Lukas Plan email;2024;6
D269;Der unheimliche Schacht;Austria;Tennengebirge;Salzburg;1000,00;1000;747,00;747;0;Limestone;Lukas Plan email;2024;6
D268;Schacht der Verlorenen;Austria;Tennengebirge;Salzburg;4303,00;4303;748,00;748;0;Limestone;Lukas Plan email;2024;6
658;Jack Daniel's Hîhle;Austria;Tennengebirge;Salzburg;10218,00;10218;748,00;748;0;Limestone;Lukas Plan email;2024;6
D266;Abisso Obelix;Italy;Veneto;Lusiana;0,00;0;750,00;750;0;Limestone;Speleologia N68P102-103;2016;6
D265;Ghar Parau;Iran;Kermanshah;Kuh-e-Parau;1364,00;1364;752,00;752;0;Limestone;www.sop.inria.fr/agos-sophia/sis/DB/;2019;7
D264;Ariadnahîhle;Austria;Tennengebirge;Salzburg;5567,00;5567;752,00;752;0;Limestone;Lukas Plan email;2024;6
D263;Sistema H31-h32-H35;Mexico;Puebla;-;0,00;0;753,00;753;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D262;Schauriger Schacht C13;Austria;Loferer Steinberge;Salzburg;1035,00;1035;753,00;753;0;Limestone;Lukas Plan email;2024;6
D261;Orkanhîhle;Austria;Dachstein;Oberîsterreich;1572,00;1572;754,00;754;0;Limestone;Lukas Plan email;2024;6
D260;Tears of the Turtle Cave;USA;Montana;Flathead;3025,60;3025;755,00;755;0;Limestone;Jason Ballensky & Peter Johnson e-mail;2024;8
42;Bulmer Caverns ( Castle Keep - Gormenghast);New Zealand;South Island;Mt Owen;74316,00;74316;755,00;755;0;Limestone;Lindsay Main NZ Speleological Soc. Info Officer;2016;9
459;Complesso di Conca delle Carsene;Italy;-;-;13500,00;13500;759,00;759;0;Limestone;www.sop.inria.fr/agos-sophia/sis/DB/;2017;4
D257;Complesso S20-S31-FDZ2;Italy;Friuli VG;Canin Massif;560,00;560;760,00;760;0;Limestone;www.sop.inria.fr/agos-sophia/sis/DB/;2017;4
D256;Abisso Dei Fulmini;Italy;Friuli VG;Canin Massif;1000,00;1000;760,00;760;0;Limestone;www.sop.inria.fr/agos-sophia/sis/DB/;2017;4
D255;Nita Ka;Mexico;-;-;1813,00;1813;760,00;760;0;Limestone;www.sop.inria.fr/agos-sophia/sis/DB/;2017;4
531;Sniezna Studnia;Poland;-;Tatra Mountains;12050,00;12050;763,00;763;0;Limestone;Polish Caving 2005-2020 09;2021;2
D253;Gouffre de la Menere;France;Hautes Pyrenees;Saint-Pe-de-Bigorre;0,00;0;765,00;765;0;Gypsum;Le Karst Du Gypse, Jean Yves Bigot Page 86-87;2002;7
622;Warwas-Glatzen-Hîhlensystem;Austria;KrÑuterin;Steiermark;10702,00;10702;765,00;765;0;Limestone;Lukas Plan email;2024;6
594;Räseau de la Täte des Verds;France;Auvergne-Rhone-Alpes;-;11000,00;11000;768,00;768;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
D250;Grafskiy Proval;Georgia;Abkhazia;West Caucasus;1750,00;1750;770,00;770;0;Limestone;www.rgo-speleo.ru/caves/bzyb/graf_r.gif;2017;4
D249;Abisso Sisma-Fonda-Laricetto;Italy;Friuli VG;Canin Massif;4000,00;4000;770,00;770;0;Limestone;www.caverinfo.com;2016;3
217;Labyrinthhîhle im Eisernen Bergl;Austria;Warscheneck;Oberîsterreich;25386,00;25386;771,00;771;0;Limestone;Lukas Plan email;2024;6
190;Kuchlberg-Hîhlensystem;Austria;Tennengebirge;Salzburg;28108,00;28108;771,00;771;0;Limestone;Lukas Plan email;2024;6
D246;Jama na Vjetrenom Brdima;Montenegro;Crna Gora;Durmitor;0,00;0;775,00;775;0;Limestone;web;;
D245;Da Keng;China;Chongqing;Wulong;4272,00;4272;775,00;775;0;Limestone;www.sop.inria.fr/agos-sophia/sis/DB/;2017;4
179;Grie·kar-Hîhlensystem;Austria;Totes Gebirge;Stmk/Oô;29724,00;29724;779,00;779;0;Limestone;Lukas Plan email;2024;6
D242;Sistema del Col Lopic;Italy;Friuli VG;Chiusaforte;0,00;0;780,00;780;0;Limestone;Speleologia N68P102-103;2016;6
D243;Complesso Faraonc-Fanaccia;Italy;Toscana;Minucciano;0,00;0;780,00;780;0;Limestone;Speleologia N68P102-103;2016;6
388;Complesso Cappa-18-Denver-Straldi;Italy;Piemonte;Briga Alta;16000,00;16000;780,00;780;0;Limestone;Speleologia N68P102-103;2016;6
D240;Kreuzhîhle;Austria;Loferer Steinberge;Salzburg;4025,00;4025;782,00;782;0;Limestone;Lukas Plan email;2024;6
D239;Tropik-Hîhlensystem;Austria;Leoganger Steinberge;Salzburg;5381,00;5381;783,00;783;0;Limestone;Lukas Plan email;2024;6
D238;poza Trasllambrion (CL.10-LL.8);Spain;Leon;Picos de Europa;0,00;0;786,00;786;0;Limestone;Jose Luis Membrado e-mail;2017;11
D237;Amfora;Croatia;Dalmacija;Biokovo;468,00;468;788,00;788;0;Limestone;Aida Bari?ic e-mail;2019;9
D236;Yu† Nita;Mexico;Oaxaca;-;0,00;0;789,00;789;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
D235;"Abisso ""Queen Mama""";Italy;Friuli VG;Chiusaforte;0,00;0;790,00;790;0;Limestone;Speleologia N68P102-103;2016;6
D233;Torca de la Mina Tere;Spain;Cantabria;Picos de Europa;0,00;0;792,00;792;0;Limestone;Jose Luis Membrado e-mail;2016;6
D234;Torca de los Hoyos;Spain;Sengros;;0,00;0;792,00;792;0;Limestone;Jose Luis Membrado e-mail;2025;3
D232;Abisso del Col della Rizza;Italy;Friuli VG;Caneva;0,00;0;795,00;795;0;Limestone;Speleologia N68P102-103;2016;6
